date,BTCUSDT,ETHUSDT,SOLUSDT
2025/7/24 12:30,0.05879828,0.379850305,-0.561351415
2025/7/24 12:35,-0.002371168,0.311198068,-0.686430764
2025/7/24 12:40,-0.040062041,0.353806596,-0.606131362
2025/7/24 12:45,-0.069856086,0.280594017,-0.649549896
2025/7/24 12:50,0.069086747,0.30250761,-0.628405643
2025/7/24 12:55,0.01875182,0.310192616,-0.671055564
2025/7/24 13:00,-0.048004548,0.332516537,-0.619478915
2025/7/24 13:05,0.040534463,0.362883403,-0.596582135
2025/7/24 13:10,-0.021224211,0.333575775,-0.645200014
2025/7/24 13:15,-0.067089522,0.326181107,-0.606729372
2025/7/24 13:20,0.049127288,0.278667685,-0.672205027
2025/7/24 13:25,-0.048462208,0.418558192,-0.532979601
2025/7/24 13:30,0.010953865,0.392397696,-0.596648438
2025/7/24 13:35,0.055129882,0.355353937,-0.589516181
2025/7/24 13:40,-0.025332874,0.309051617,-0.66561551
2025/7/24 13:45,-0.036960468,0.37963284,-0.583406692
2025/7/24 13:50,0.010187533,0.368597923,-0.621214544
2025/7/24 13:55,-0.076580825,0.348399458,-0.575019717
2025/7/24 14:00,-0.052585903,0.293520202,-0.653893896
2025/7/24 14:05,0.06841351,0.26788901,-0.66369748
2025/7/24 14:10,-0.017188343,0.27453003,-0.708281626
2025/7/24 14:15,-0.060087345,0.36023906,-0.579673596
2025/7/24 14:20,-0.05287354,0.331930717,-0.615195743
2025/7/24 14:25,-0.058017297,0.344751744,-0.59723096
2025/7/24 14:30,-0.025014182,0.313425143,-0.661560675
2025/7/24 14:35,0.019716544,0.369573771,-0.610709685
2025/7/24 14:40,-0.005546686,0.426675241,-0.567778073
2025/7/24 14:45,-0.025171672,0.377398337,-0.59742999
2025/7/24 14:50,-0.038622403,0.473707664,-0.487669933
2025/7/24 14:55,0.020551446,0.37572309,-0.603725463
2025/7/24 15:00,0.039789874,0.299408826,-0.6608013
2025/7/24 15:05,0.081591309,0.374043796,-0.544364895
2025/7/24 15:10,-0.038109769,0.370192057,-0.591698173
2025/7/24 15:15,0.017830252,0.361724007,-0.62044574
2025/7/24 15:20,-0.046634254,0.395556483,-0.557809264
2025/7/24 15:25,0.072679584,0.333238952,-0.594081464
2025/7/24 15:30,0.004899352,0.371311262,-0.623789386
2025/7/24 15:35,-0.076672841,0.386047773,-0.537279386
2025/7/24 15:40,-0.00882582,0.355484477,-0.635689703
2025/7/24 15:45,0.021845885,0.387993376,-0.59016074
2025/7/24 15:50,-0.036429223,0.304618486,-0.658952291
2025/7/24 15:55,-0.029818969,0.342703617,-0.627477414
2025/7/24 16:00,-0.050915295,0.398725454,-0.550359251
2025/7/24 16:05,-0.028608633,0.399976257,-0.57141511
