signal_time,相对强弱信号,BTCUSDT,ETHUSDT,SOLUSDT,,处理后等权持仓,BTCUSDT,ETHUSDT,SOLUSDT,,return,diff,pnl
2025/7/24 4:55,,0.033563614,0.07220006,-0.15237677,,,0,0.5,-0.5,,4.06E-07,0.005082591,0.0000%
2025/7/24 5:00,,-0.000788927,0.06948328,-0.13775921,,,0,0.5,-0.5,,-7.89E-07,0.000985097,0.0000%
2025/7/24 5:05,,0.015554786,0.08010423,-0.13799125,,,0,0.5,-0.5,,-8.37E-06,0.002865141,-0.0009%
2025/7/24 5:10,,0.003113747,0.080549,-0.15535986,,,0,0.5,-0.5,,-9.37E-06,0.001397509,-0.0018%
2025/7/24 5:15,,0.024167895,0.06982088,-0.12609649,,,0,0.5,-0.5,,-3.19E-06,0.003822301,-0.0021%
2025/7/24 5:20,,0.01887548,0.071459055,-0.13747883,,,0,0.5,-0.5,,2.61E-07,0.003220353,-0.0021%
2025/7/24 5:25,,0.009213805,0.06805158,-0.13910931,,,0,0.5,-0.5,,-2.65E-06,0.002017408,-0.0024%
2025/7/24 5:30,,0.012528181,0.07710481,-0.14052677,,,0,0.5,-0.5,,5.08E-06,0.00248379,-0.0019%
2025/7/24 5:35,,0.03375721,0.06805086,-0.11120826,,,0,0.5,-0.5,,7.32E-06,0.004939861,-0.0011%
2025/7/24 5:40,,0.016242027,0.053845406,-0.13828874,,,0,0.5,-0.5,,2.89E-05,0.002794463,0.0018%
2025/7/24 5:45,,0.024501562,0.08176243,-0.11029655,,,0,0.5,-0.5,,-2.32E-05,0.003879944,-0.0006%
2025/7/24 5:50,,0.017936707,0.064334154,-0.12945867,,,0,0.5,-0.5,,-5.31E-06,0.003034868,-0.0011%
2025/7/24 5:55,,0.014847159,0.061663747,-0.13862401,,,0,0.5,-0.5,,2.87E-05,0.002670579,0.0018%
2025/7/24 6:00,,0.002341509,0.096227884,-0.13727838,,,0,0.5,-0.5,,-8.54E-06,0.00133351,0.0009%
2025/7/24 6:05,,0.009904146,0.07308352,-0.1482032,,,0,0.5,-0.5,,-1.79E-05,0.002163586,-0.0009%
2025/7/24 6:10,,0.024706125,0.059561968,-0.13376725,,,0,0.5,-0.5,,2.75E-05,0.003853893,0.0019%
2025/7/24 6:15,,0.004103661,0.066832304,-0.13356775,,,0,0.5,-0.5,,-5.07E-05,0.001362562,-0.0032%
2025/7/24 6:20,,0.035519123,0.075903416,-0.13398159,,,0,0.5,-0.5,,5.44E-05,0.005281748,0.0023%
2025/7/24 6:25,,-0.001639068,0.062248826,-0.14178419,,,0,0.5,-0.5,,1.26E-05,0.001060484,0.0035%
2025/7/24 6:30,,-0.005096376,0.07106626,-0.14197743,,,0,0.5,-0.5,,-7.90E-06,0.001538823,0.0027%
2025/7/24 6:35,,0.021579742,0.058943033,-0.14313763,,,0,0.5,-0.5,,-5.86E-05,0.003497983,-0.0031%
2025/7/24 6:40,,0.006134033,0.07784581,-0.13977915,,,0,0.5,-0.5,,-2.25E-06,0.001699207,-0.0033%
2025/7/24 6:45,,0.00996995,0.09133005,-0.1236307,,,0,0.5,-0.5,,6.53E-06,0.002195567,-0.0027%
2025/7/24 6:50,,0.033375263,0.08581936,-0.12563384,,,0,0.5,-0.5,,-5.38E-06,0.005048305,-0.0032%
2025/7/24 6:55,,0.011960149,0.0743655,-0.11820936,,,0,0.5,-0.5,,2.71E-06,0.002320731,-0.0030%
2025/7/24 7:00,,0.033127427,0.07344282,-0.13166946,,,0,0.5,-0.5,,-0.000107526,0.004964987,-0.0137%
2025/7/24 7:05,,0.033157825,0.07090056,-0.14054304,,,0,0.5,-0.5,,0.000135216,0.004984175,-0.0002%
2025/7/24 7:10,,0.006732583,0.09695661,-0.11683667,,,0,0.5,-0.5,,0.000174663,0.001807469,0.0173%
2025/7/24 7:15,,0.016807556,0.07097888,-0.13226068,,,0,0.5,-0.5,,3.09E-05,0.002945182,0.0204%
2025/7/24 7:20,,-0.010082006,0.06901133,-0.116546154,,,0,0.5,-0.5,,-4.29E-05,0.002052153,0.0161%
2025/7/24 7:25,,0.009718895,0.0467875,-0.12051642,,,0,0.5,-0.5,,4.82E-05,0.001888953,0.0209%
2025/7/24 7:30,,0.021404147,0.070840836,-0.14203674,,,0,0.5,-0.5,,-2.23E-05,0.003543381,0.0187%
2025/7/24 7:35,,0.021304846,0.07258642,-0.14839923,,,0,0.5,-0.5,,7.45E-05,0.003563477,0.0261%
2025/7/24 7:40,,0.013778448,0.0584414,-0.12648034,,,0,0.5,-0.5,,5.74E-05,0.002478122,0.0318%
2025/7/24 7:45,,0.001480579,0.061248183,-0.1171056,,,0,0.5,-0.5,,-7.89E-06,0.000950003,0.0311%
