ADAUSDT,AGIXUSDT,ARBUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,SOLUSDT,SUIUSDT,UNIUSDT,XRPUSDT
0.04613626,0.001358509,0.09165895,0.03285134,-0.13285893,-0.0677644,-0.056958556,0.0510844,0.019048572,0.006847978,0.1540991,-0.14365983
0.046187878,0.001507044,0.096432686,0.031073332,-0.13465756,-0.06911045,-0.057818294,0.047544003,0.020279646,0.01016438,0.15641546,-0.14853781
0.046094656,0.004573584,0.0980593,0.034876943,-0.13634807,-0.06649107,-0.058980286,0.04944122,0.014773369,0.012701154,0.15596175,-0.14906281
0.046328902,0.003638387,0.10474253,0.029975772,-0.13268465,-0.062360346,-0.0625239,0.044251204,0.018261194,0.011500001,0.15730894,-0.15351772
0.048503995,0.001605153,0.10111964,0.027650952,-0.13159525,-0.056559443,-0.06710267,0.04432869,0.015665889,0.013226032,0.15566659,-0.15195173
0.040720105,0.003424048,0.102083564,0.03282535,-0.13543439,-0.05983627,-0.061818063,0.04434371,0.016018987,0.011505008,0.15832162,-0.15612513
0.04557824,0.002703071,0.10799205,0.03466463,-0.13810176,-0.05793053,-0.064151466,0.043566465,0.018288136,0.015739322,0.16521323,-0.16277587
0.044299006,0.005094647,0.1074903,0.03436768,-0.1357882,-0.063426435,-0.06090957,0.043052435,0.017659783,0.017205715,0.1623863,-0.1538052
0.042010307,0.005146503,0.10213387,0.039007425,-0.1406554,-0.06459206,-0.06352115,0.046431065,0.022146344,0.013195157,0.16037583,-0.15946126
0.03574431,0.00478065,0.10255635,0.04014826,-0.14028835,-0.057724178,-0.0644328,0.05420828,0.018734097,0.011403322,0.1626972,-0.16229731
0.037172675,0.001417875,0.10652149,0.041432858,-0.13156408,-0.059437573,-0.057972193,0.050627947,0.018602967,0.007679582,0.16563904,-0.16167742
0.04649782,0.004279375,0.10687423,0.03176856,-0.13430297,-0.059608936,-0.06648129,0.04639232,0.018370748,0.017374992,0.16258681,-0.16269684
0.04545772,0.00509584,0.10763693,0.0314157,-0.13642126,-0.06040567,-0.062768996,0.04746592,0.014985085,0.01473856,0.15741801,-0.15634954
0.045819998,0.005916834,0.10323799,0.029054403,-0.13840425,-0.061518252,-0.06604552,0.04560554,0.021364331,0.01542449,0.15699732,-0.15731668
0.03990972,0.007142067,0.10347915,0.033398867,-0.13418007,-0.0526641,-0.0668751,0.045467377,0.021635175,0.013790846,0.1573546,-0.159877
